Date;Period;jAuditRate;jTaxRate;jPeriod;jSubject;jSujeto;jGroup;jGrupo;jProfit;jnCorrectRET;jProfitRET;jDeclared;jDeduction;jTotalDeduction;jCheat;jType;jAudited;jFine;jDeductionsGroup;jReceivedFromGroup;jTaxRateProposed;jnCorrectSum;jGroupDG;jProfitDG;jProposerDG;jOfferDG;jage_subject;jgender;jTrust;jIdeology;jIncome;jPublicTransport;jTaxes;jDrivingFast;jMoneyFound;jLying;jAccidentalDamage;jLitter;jDrivingAlcohol;jJobApplication;jBuyingStolen;jProfitRiskAv;jdec1;jdec2;jdec3;jdec4;jdec5;jdec6;jdec7;jdec8;jdec9;jdec10;jHLJump;jSafeChoices;jedec1;jedec2;jedec3;jedec4;jedec5;jeHLJump;jequizWrong
151217_0935;3;0;10;3;5;-1;5;-1;773.75;5;750;350;35;35;1;-1;0;0;235;58.75;-1;5;3;600;1;400;40;0;1;5;10;1;1;2;1;1;2;1;1;1;1;2400;1;1;0;1;1;0;1;0;0;1;1;4;1;1;1;0;0;1;0
151217_0935;3;0;10;3;6;-1;6;-1;580;4;600;600;60;60;0;-1;0;0;160;40;-1;4;7;800;1;200;40;0;0;8;15;1;1;1;2;1;1;1;1;1;1;1900;0;1;0;1;1;0;0;0;1;0;2;6;1;1;1;1;1;1;3
151217_0935;3;0;10;3;7;-1;5;-1;733.75;5;750;750;75;75;0;-1;0;0;235;58.75;-1;5;4;0;1;1000;51;0;0;2;11;1;1;1;1;1;1;1;1;1;1;2300;0;0;0;0;0;0;0;0;0;1;10;9;1;1;1;1;1;1;1
151217_0935;3;0;10;3;8;-1;3;-1;1011.75;7;1050;1050;105;105;0;-1;0;0;267;66.75;-1;7;2;500;1;500;37;1;0;5;16;1;1;1;3;1;1;1;1;2;1;1500;0;0;0;0;0;1;1;1;1;1;6;5;0;0;0;0;0;99;0
151217_0935;3;0;10;3;9;-1;1;-1;1.490.125;10;1500;1100;110;110;1;-1;0;0;400.5;100.125;-1;10;5;500;1;500;26;0;0;5;13;3;1;2;3;2;1;1;1;2;1;1800;0;1;0;0;0;0;1;1;1;1;2;5;0;1;0;0;0;2;0
151217_0935;3;0;10;3;10;-1;2;-1;164.05;1;150;150;15;15;0;-1;0;0;116.2;29.05;-1;1;5;500;0;500;65;0;0;5;9;1;3;3;1;1;1;1;1;3;1;1500;0;1;0;0;1;0;1;0;0;0;2;7;0;0;1;0;1;3;1
151217_0935;3;0;10;3;11;-1;4;-1;755;5;750;750;75;75;0;-1;0;0;320;80;-1;5;6;400;1;600;23;0;0;6;15;1;1;2;1;1;1;1;1;1;1;1300;0;0;0;0;1;1;1;1;1;1;5;4;0;0;0;0;0;99;1
151217_0935;3;0;10;3;12;-1;5;-1;733.75;5;750;750;75;75;0;-1;0;0;235;58.75;-1;5;6;600;0;500;54;1;0;10;12;1;4;4;1;1;1;1;3;4;1;700;0;0;0;0;0;1;1;0;1;1;6;6;0;0;0;0;0;99;4
151217_0935;3;0;10;3;13;-1;2;-1;623.05;4;600;60;6;6;1;-1;0;0;116.2;29.05;-1;4;9;250;0;500;51;1;1;8;9;3;1;3;3;3;3;1;1;3;1;1400;0;1;0;0;0;1;0;0;0;1;2;7;0;0;0;1;1;4;1
151217_0935;3;0;10;3;14;-1;5;-1;758.75;5;750;500;50;50;1;-1;0;0;235;58.75;-1;5;8;600;1;400;47;0;0;4;88;1;1;1;1;1;1;1;1;1;1;1900;0;1;0;1;0;0;0;1;1;0;2;6;1;0;1;0;1;1;1
